session_id,year,event_name,category,flag,scope,messages,missing_session_time,lap_scoped,driver_scoped
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,Drs,missing,missing,2,1,2,0
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,Flag,BLUE,Driver,2,0,2,2
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,Flag,GREEN,Track,2,1,2,0
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,Flag,CHEQUERED,Track,1,0,1,0
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,Other,missing,missing,28,7,28,0
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,Flag,CLEAR,Sector,9,1,9,0
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,Flag,DOUBLE YELLOW,Sector,6,1,6,0
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,SafetyCar,missing,missing,4,0,4,0
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,Flag,BLUE,Driver,4,0,4,4
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,Drs,missing,missing,4,1,4,0
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,Flag,GREEN,Track,2,1,2,0
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,Flag,CLEAR,Track,2,0,2,0
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,Flag,CHEQUERED,Track,1,0,1,0
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,Flag,YELLOW,Sector,1,0,1,0
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,Other,missing,missing,45,2,45,0
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,Flag,BLUE,Driver,16,0,16,16
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,Flag,CLEAR,Sector,4,0,4,0
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,Flag,YELLOW,Sector,3,0,3,0
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,Flag,GREEN,Track,2,1,2,0
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,Drs,missing,missing,2,1,2,0
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,SafetyCar,missing,missing,2,0,2,0
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,Flag,DOUBLE YELLOW,Sector,2,0,2,0
