session_id,event_round,event_name,speed_bin_number,reference_laps,speed_q10_kmh,speed_median_kmh,speed_q90_kmh
2025-british-grand-prix-r,12,British Grand Prix,11,224,236.7121052631579,260.0261437908497,282.3932352941177
2025-british-grand-prix-r,12,British Grand Prix,12,224,237.93962848297213,254.21031746031747,270.9325396825397
2025-british-grand-prix-r,12,British Grand Prix,13,224,226.09666666666666,258.88995215311,280.04375
2025-british-grand-prix-r,12,British Grand Prix,14,224,158.09815789473686,171.35233918128654,190.01754385964915
2025-british-grand-prix-r,12,British Grand Prix,15,224,233.50333333333333,243.88888888888889,261.8358288770053
2025-british-grand-prix-r,12,British Grand Prix,16,224,279.63,299.3065789473684,306.23090909090905
2025-british-grand-prix-r,12,British Grand Prix,17,224,164.29500000000002,193.53690476190476,214.98333333333335
2025-british-grand-prix-r,12,British Grand Prix,18,224,188.9578947368421,212.36944444444444,226.04736842105265
2025-british-grand-prix-r,12,British Grand Prix,19,224,87.12982456140351,93.60952380952381,99.74509803921569
2025-british-grand-prix-r,12,British Grand Prix,20,224,155.45,170.075,180.46
2025-belgian-grand-prix-r,13,Belgian Grand Prix,1,483,224.96666666666667,231.89473684210526,237.83188405797102
2025-belgian-grand-prix-r,13,Belgian Grand Prix,2,483,105.91000000000001,112.75,118.66333333333334
2025-belgian-grand-prix-r,13,Belgian Grand Prix,3,483,258.84909090909093,264.6818181818182,270.219806763285
2025-belgian-grand-prix-r,13,Belgian Grand Prix,4,483,305.66285714285715,309.3157894736842,313.0490909090909
2025-belgian-grand-prix-r,13,Belgian Grand Prix,5,483,315.2894409937888,318.8333333333333,323.9082251082251
2025-belgian-grand-prix-r,13,Belgian Grand Prix,6,483,307.5333333333333,315.6842105263158,322.39766081871346
2025-belgian-grand-prix-r,13,Belgian Grand Prix,7,483,153.51779448621554,167.0,176.3126315789474
2025-belgian-grand-prix-r,13,Belgian Grand Prix,8,483,218.96363636363637,228.04761904761904,233.79761904761904
2025-belgian-grand-prix-r,13,Belgian Grand Prix,9,483,131.21286549707602,137.25,146.38282828282829
2025-belgian-grand-prix-r,13,Belgian Grand Prix,10,483,189.33333333333334,198.1,203.87
2025-belgian-grand-prix-r,13,Belgian Grand Prix,11,483,267.46285714285716,273.1578947368421,278.5942857142857
2025-belgian-grand-prix-r,13,Belgian Grand Prix,12,483,272.35087719298247,279.8095238095238,285.4373737373738
