session_id,event_round,event_name,driver_code,lap_number,bad_flag_flip_count,replay_safety_flip_count,lap_comparison_safety_flip_count,recommendation_flip_count,primary_category_flip_count,baseline_bad_lap_any_category,baseline_safe_for_replay,baseline_safe_for_lap_comparison,baseline_product_recommendation,baseline_primary_category,any_sensitivity_flip_count
2025-miami-grand-prix-r,6,Miami Grand Prix,ALB,53,1,1,1,1,1,False,True,True,keep,clean,5
2025-miami-grand-prix-r,6,Miami Grand Prix,ALO,53,1,1,1,1,1,False,True,True,keep,clean,5
2025-miami-grand-prix-r,6,Miami Grand Prix,ANT,53,1,1,1,1,1,False,True,True,keep,clean,5
2025-miami-grand-prix-r,6,Miami Grand Prix,GAS,53,1,1,1,1,1,False,True,True,keep,clean,5
2025-miami-grand-prix-r,6,Miami Grand Prix,HAD,53,1,1,1,1,1,False,True,True,keep,clean,5
2025-miami-grand-prix-r,6,Miami Grand Prix,HAM,53,1,1,1,1,1,False,True,True,keep,clean,5
2025-miami-grand-prix-r,6,Miami Grand Prix,HUL,53,1,1,1,1,1,False,True,True,keep,clean,5
2025-miami-grand-prix-r,6,Miami Grand Prix,LEC,53,1,1,1,1,1,False,True,True,keep,clean,5
2025-miami-grand-prix-r,6,Miami Grand Prix,NOR,54,1,1,1,1,1,False,True,True,keep,clean,5
2025-miami-grand-prix-r,6,Miami Grand Prix,OCO,53,1,1,1,1,1,False,True,True,keep,clean,5
2025-miami-grand-prix-r,6,Miami Grand Prix,PIA,54,1,1,1,1,1,False,True,True,keep,clean,5
2025-miami-grand-prix-r,6,Miami Grand Prix,RUS,53,1,1,1,1,1,False,True,True,keep,clean,5
2025-miami-grand-prix-r,6,Miami Grand Prix,SAI,53,1,1,1,1,1,False,True,True,keep,clean,5
2025-miami-grand-prix-r,6,Miami Grand Prix,STR,52,1,1,1,1,1,False,True,True,keep,clean,5
2025-miami-grand-prix-r,6,Miami Grand Prix,TSU,53,1,1,1,1,1,False,True,True,keep,clean,5
2025-miami-grand-prix-r,6,Miami Grand Prix,VER,53,1,1,1,1,1,False,True,True,keep,clean,5
2025-spanish-grand-prix-r,9,Spanish Grand Prix,PIA,9,1,1,1,1,1,False,True,True,keep,clean,5
2025-canadian-grand-prix-r,10,Canadian Grand Prix,BEA,2,1,1,1,1,1,True,False,False,exclude,position_trace_discontinuity,5
2025-canadian-grand-prix-r,10,Canadian Grand Prix,HAD,2,1,1,1,1,1,True,False,False,exclude,position_trace_discontinuity,5
2025-canadian-grand-prix-r,10,Canadian Grand Prix,SAI,2,1,1,1,1,1,True,False,False,exclude,position_trace_discontinuity,5
2025-canadian-grand-prix-r,10,Canadian Grand Prix,TSU,2,1,1,1,1,1,True,False,False,exclude,position_trace_discontinuity,5
2025-dutch-grand-prix-r,15,Dutch Grand Prix,HAM,6,1,1,1,1,1,False,True,True,keep,clean,5
2025-dutch-grand-prix-r,15,Dutch Grand Prix,LAW,6,1,1,1,1,1,False,True,True,keep,clean,5
2025-dutch-grand-prix-r,15,Dutch Grand Prix,RUS,6,1,1,1,1,1,False,True,True,keep,clean,5
