event_round,event_name,driver_code,total_laps,bad_laps,integrity_laps,context_laps,shape_laps,replay_unsafe_laps,lap_comparison_unsafe_laps,bad_pct,integrity_pct,context_pct,shape_pct,replay_unsafe_pct,lap_comparison_unsafe_pct
21,São Paulo Grand Prix,RUS,71,19,11,12,11,0,19,26.76056338028169,15.492957746478872,16.901408450704224,15.492957746478872,0.0,26.76056338028169
21,São Paulo Grand Prix,TSU,71,19,11,14,11,0,19,26.76056338028169,15.492957746478872,19.718309859154928,15.492957746478872,0.0,26.76056338028169
22,Las Vegas Grand Prix,COL,49,13,8,7,7,1,13,26.53061224489796,16.3265306122449,14.285714285714285,14.285714285714285,2.0408163265306123,26.53061224489796
16,Italian Grand Prix,ALB,53,14,4,2,13,0,14,26.41509433962264,7.547169811320755,3.7735849056603774,24.528301886792452,0.0,26.41509433962264
23,Qatar Grand Prix,TSU,57,15,9,10,7,0,15,26.31578947368421,15.789473684210526,17.543859649122805,12.280701754385964,0.0,26.31578947368421
15,Dutch Grand Prix,NOR,65,17,13,8,12,1,17,26.153846153846157,20.0,12.307692307692308,18.461538461538463,1.5384615384615385,26.153846153846157
17,Azerbaijan Grand Prix,GAS,50,13,6,8,4,4,13,26.0,12.0,16.0,8.0,8.0,26.0
22,Las Vegas Grand Prix,BEA,50,13,8,7,6,1,13,26.0,16.0,14.000000000000002,12.0,2.0,26.0
22,Las Vegas Grand Prix,HAD,50,13,8,7,7,1,13,26.0,16.0,14.000000000000002,14.000000000000002,2.0,26.0
22,Las Vegas Grand Prix,OCO,50,13,9,6,6,1,13,26.0,18.0,12.0,12.0,2.0,26.0
22,Las Vegas Grand Prix,RUS,50,13,8,7,7,1,13,26.0,16.0,14.000000000000002,14.000000000000002,2.0,26.0
22,Las Vegas Grand Prix,TSU,50,13,8,9,7,1,13,26.0,16.0,18.0,14.000000000000002,2.0,26.0
22,Las Vegas Grand Prix,VER,50,13,8,7,7,1,13,26.0,16.0,14.000000000000002,14.000000000000002,2.0,26.0
22,Las Vegas Grand Prix,ALB,35,9,9,5,8,1,9,25.71428571428571,25.71428571428571,14.285714285714285,22.857142857142858,2.857142857142857,25.71428571428571
17,Azerbaijan Grand Prix,ALB,51,13,6,10,4,3,13,25.49019607843137,11.76470588235294,19.607843137254903,7.8431372549019605,5.88235294117647,25.49019607843137
17,Azerbaijan Grand Prix,HAM,51,13,6,8,4,3,13,25.49019607843137,11.76470588235294,15.686274509803921,7.8431372549019605,5.88235294117647,25.49019607843137
17,Azerbaijan Grand Prix,RUS,51,13,6,8,4,3,13,25.49019607843137,11.76470588235294,15.686274509803921,7.8431372549019605,5.88235294117647,25.49019607843137
17,Azerbaijan Grand Prix,STR,51,13,6,8,4,3,13,25.49019607843137,11.76470588235294,15.686274509803921,7.8431372549019605,5.88235294117647,25.49019607843137
7,Emilia Romagna Grand Prix,ALO,63,16,15,5,14,0,16,25.396825396825395,23.809523809523807,7.936507936507936,22.22222222222222,0.0,25.396825396825395
7,Emilia Romagna Grand Prix,COL,63,16,15,5,14,0,16,25.396825396825395,23.809523809523807,7.936507936507936,22.22222222222222,0.0,25.396825396825395
7,Emilia Romagna Grand Prix,STR,63,16,15,5,14,0,16,25.396825396825395,23.809523809523807,7.936507936507936,22.22222222222222,0.0,25.396825396825395
21,São Paulo Grand Prix,LAW,71,18,9,11,9,0,18,25.352112676056336,12.676056338028168,15.492957746478872,12.676056338028168,0.0,25.352112676056336
21,São Paulo Grand Prix,NOR,71,18,11,11,11,0,18,25.352112676056336,15.492957746478872,15.492957746478872,15.492957746478872,0.0,25.352112676056336
21,São Paulo Grand Prix,OCO,71,18,10,13,10,1,18,25.352112676056336,14.084507042253522,18.30985915492958,14.084507042253522,1.4084507042253522,25.352112676056336
6,Miami Grand Prix,LAW,36,9,8,4,8,0,9,25.0,22.22222222222222,11.11111111111111,22.22222222222222,0.0,25.0
23,Qatar Grand Prix,GAS,56,14,8,10,7,0,14,25.0,14.285714285714285,17.857142857142858,12.5,0.0,25.0
23,Qatar Grand Prix,LAW,57,14,8,10,7,0,14,24.561403508771928,14.035087719298245,17.543859649122805,12.280701754385964,0.0,24.561403508771928
23,Qatar Grand Prix,LEC,57,14,8,10,7,0,14,24.561403508771928,14.035087719298245,17.543859649122805,12.280701754385964,0.0,24.561403508771928
23,Qatar Grand Prix,SAI,57,14,7,11,7,0,14,24.561403508771928,12.280701754385964,19.298245614035086,12.280701754385964,0.0,24.561403508771928
23,Qatar Grand Prix,VER,57,14,7,11,7,0,14,24.561403508771928,12.280701754385964,19.298245614035086,12.280701754385964,0.0,24.561403508771928
22,Las Vegas Grand Prix,LAW,49,12,7,9,7,0,12,24.489795918367346,14.285714285714285,18.367346938775512,14.285714285714285,0.0,24.489795918367346
5,Saudi Arabian Grand Prix,LAW,50,12,7,7,3,2,12,24.0,14.000000000000002,14.000000000000002,6.0,4.0,24.0
17,Azerbaijan Grand Prix,COL,50,12,6,8,3,3,12,24.0,12.0,16.0,6.0,6.0,24.0
22,Las Vegas Grand Prix,ALO,50,12,7,7,5,1,12,24.0,14.000000000000002,14.000000000000002,10.0,2.0,24.0
22,Las Vegas Grand Prix,HAM,50,12,8,6,6,1,12,24.0,16.0,12.0,12.0,2.0,24.0
22,Las Vegas Grand Prix,HUL,50,12,8,6,6,1,12,24.0,16.0,12.0,12.0,2.0,24.0
22,Las Vegas Grand Prix,LEC,50,12,8,6,6,1,12,24.0,16.0,12.0,12.0,2.0,24.0
22,Las Vegas Grand Prix,NOR,50,12,7,7,7,1,12,24.0,14.000000000000002,14.000000000000002,14.000000000000002,2.0,24.0
7,Emilia Romagna Grand Prix,BEA,63,15,14,5,13,0,15,23.809523809523807,22.22222222222222,7.936507936507936,20.634920634920633,0.0,23.809523809523807
7,Emilia Romagna Grand Prix,BOR,63,15,14,7,14,0,15,23.809523809523807,22.22222222222222,11.11111111111111,22.22222222222222,0.0,23.809523809523807
7,Emilia Romagna Grand Prix,LAW,63,15,14,5,14,0,15,23.809523809523807,22.22222222222222,7.936507936507936,22.22222222222222,0.0,23.809523809523807
