session_id,year,event_name,driver_code,segment_id,start_ms,end_ms,rows,start_lap,end_lap,car_gap_rows,car_sample_old_rows,location_gap_rows,location_sample_old_rows,other_unknown_rows,duration_ms,dominant_family
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,HUL,214,7837487,7839387,20,55,55,11,0,9,0,0,2000,car_gap_too_large
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,LAW,214,7837487,7839387,20,55,55,11,0,9,0,0,2000,car_gap_too_large
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,NOR,214,7837487,7839387,20,56,56,11,0,9,0,0,2000,car_gap_too_large
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,OCO,214,7837487,7839387,20,55,55,11,0,9,0,0,2000,car_gap_too_large
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,PIA,214,7837487,7839387,20,56,56,11,0,9,0,0,2000,car_gap_too_large
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,RUS,214,7837487,7839387,20,56,56,11,0,9,0,0,2000,car_gap_too_large
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,SAI,214,7837487,7839387,20,55,55,11,0,9,0,0,2000,car_gap_too_large
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,STR,214,7837487,7839387,20,56,56,11,0,9,0,0,2000,car_gap_too_large
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,TSU,214,7837487,7839387,20,55,56,11,0,9,0,0,2000,car_gap_too_large
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,VER,214,7837487,7839387,20,56,56,11,0,9,0,0,2000,car_gap_too_large
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,ALB,62,5618949,5620849,20,21,21,20,0,0,0,0,2000,car_gap_too_large
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,ALO,62,5618949,5620849,20,22,22,20,0,0,0,0,2000,car_gap_too_large
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,ANT,62,5618949,5620849,20,22,22,20,0,0,0,0,2000,car_gap_too_large
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,BEA,62,5618949,5620849,20,22,22,20,0,0,0,0,2000,car_gap_too_large
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,COL,62,5618949,5620849,20,22,22,20,0,0,0,0,2000,car_gap_too_large
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,GAS,62,5618949,5620849,20,22,22,20,0,0,0,0,2000,car_gap_too_large
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,HAD,62,5618949,5620849,20,22,22,20,0,0,0,0,2000,car_gap_too_large
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,HAM,62,5618949,5620849,20,22,22,20,0,0,0,0,2000,car_gap_too_large
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,HUL,62,5618949,5620849,20,22,22,20,0,0,0,0,2000,car_gap_too_large
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,LAW,62,5618949,5620849,20,21,22,20,0,0,0,0,2000,car_gap_too_large
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,LEC,62,5618949,5620849,20,22,22,20,0,0,0,0,2000,car_gap_too_large
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,NOR,62,5618949,5620849,20,22,22,20,0,0,0,0,2000,car_gap_too_large
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,OCO,62,5618949,5620849,20,22,22,20,0,0,0,0,2000,car_gap_too_large
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,PIA,62,5618949,5620849,20,22,22,20,0,0,0,0,2000,car_gap_too_large
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,RUS,62,5618949,5620849,20,22,22,20,0,0,0,0,2000,car_gap_too_large
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,SAI,62,5618949,5620849,20,22,22,20,0,0,0,0,2000,car_gap_too_large
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,TSU,62,5618949,5620849,20,22,22,20,0,0,0,0,2000,car_gap_too_large
