session_id,event_name,normalized_message,messages,first_session_time_ms,last_session_time_ms,taxonomy,example_message,span_ms
2025-s-o-paulo-grand-prix-r,São Paulo Grand Prix,drs enabled,2,785000.0,999000.0,drs,DRS ENABLED,214000.0
2025-s-o-paulo-grand-prix-r,São Paulo Grand Prix,waved blue flag for car # (ham) timed at #:#:#,2,3024000.0,3247000.0,flags,WAVED BLUE FLAG FOR CAR 44 (HAM) TIMED AT 14:50:23,223000.0
2025-australian-grand-prix-r,Australian Grand Prix,car # (tsu) time #:#.# deleted - track limits at turn # lap # #:#:#,2,6168000.0,6392000.0,other,CAR 22 (TSU) TIME 1:35.983 DELETED - TRACK LIMITS AT TURN 12 LAP 45 16:38:17,224000.0
2025-canadian-grand-prix-r,Canadian Grand Prix,car # (had) time #:#.# deleted - track limits at turn # lap # #:#:#,2,3835000.0,4074000.0,other,CAR 6 (HAD) TIME 1:18.101 DELETED - TRACK LIMITS AT TURN 14 LAP 45 15:01:37,239000.0
2025-british-grand-prix-r,British Grand Prix,car # (ver) time #:#.# deleted - track limits at turn # lap # #:#:#,2,5334000.0,5596000.0,other,CAR 1 (VER) TIME 1:39.479 DELETED - TRACK LIMITS AT TURN 2 LAP 43 16:26:43,262000.0
2025-mexico-city-grand-prix-r,Mexico City Grand Prix,car # (ver) time #:#.# deleted - track limits at turn # lap # #:#:#,2,906000.0,1182000.0,other,CAR 1 (VER) TIME 1:28.329 DELETED - TRACK LIMITS AT TURN 3 LAP 6 14:10:36,276000.0
2025-s-o-paulo-grand-prix-r,São Paulo Grand Prix,track clear,2,702000.0,998000.0,flags,TRACK CLEAR,296000.0
2025-emilia-romagna-grand-prix-r,Emilia Romagna Grand Prix,car # (gas) time #:#.# deleted - track limits at turn # lap # #:#:#,2,512000.0,827000.0,other,CAR 10 (GAS) TIME 1:25.766 DELETED - TRACK LIMITS AT TURN 10 LAP 3 15:07:09,315000.0
2025-abu-dhabi-grand-prix-r,Abu Dhabi Grand Prix,car # (ver) time #:#.# deleted - track limits at turn # lap # #:#:#,2,4436000.0,4766000.0,other,CAR 1 (VER) TIME 1:27.752 DELETED - TRACK LIMITS AT TURN 1 LAP 45 18:09:08,330000.0
2025-abu-dhabi-grand-prix-r,Abu Dhabi Grand Prix,car # (bor) time #:#.# deleted - track limits at turn # lap # #:#:#,2,4025000.0,4386000.0,other,CAR 5 (BOR) TIME 1:30.115 DELETED - TRACK LIMITS AT TURN 1 LAP 39 18:01:09,361000.0
2025-british-grand-prix-r,British Grand Prix,virtual safety car ending,2,618000.0,1024000.0,safety_car,VIRTUAL SAFETY CAR ENDING,406000.0
2025-bahrain-grand-prix-r,Bahrain Grand Prix,car # (law) time #:#.# deleted - track limits at turn # lap # #:#:#,2,1645000.0,2093000.0,other,CAR 30 (LAW) TIME 1:43.984 DELETED - TRACK LIMITS AT TURN 13 LAP 14 18:26:59,448000.0
2025-british-grand-prix-r,British Grand Prix,virtual safety car deployed,2,348000.0,819000.0,safety_car,VIRTUAL SAFETY CAR DEPLOYED,471000.0
2025-belgian-grand-prix-r,Belgian Grand Prix,car # (had) time #:#.# deleted - track limits at turn # lap # #:#:#,2,6009000.0,6507000.0,other,CAR 6 (HAD) TIME 2:02.837 DELETED - TRACK LIMITS AT TURN 4 LAP 8 16:38:24,498000.0
2025-united-states-grand-prix-r,United States Grand Prix,car # (alb) time #:#.# deleted - track limits at turn # lap # #:#:#,2,3405000.0,3917000.0,other,CAR 23 (ALB) TIME 1:40.263 DELETED - TRACK LIMITS AT TURN 12 LAP 28 14:51:36,512000.0
2025-canadian-grand-prix-r,Canadian Grand Prix,waved blue flag for car # (bor) timed at #:#:#,2,4065000.0,4680000.0,flags,WAVED BLUE FLAG FOR CAR 5 (BOR) TIMED AT 15:07:45,615000.0
2025-british-grand-prix-r,British Grand Prix,safety car in this lap,2,2316000.0,2942000.0,safety_car,SAFETY CAR IN THIS LAP,626000.0
2025-british-grand-prix-r,British Grand Prix,safety car deployed,2,1754000.0,2475000.0,safety_car,SAFETY CAR DEPLOYED,721000.0
2025-belgian-grand-prix-r,Belgian Grand Prix,car # (sai) time #:#.# deleted - track limits at turn # lap # #:#:#,2,5651000.0,6395000.0,other,CAR 55 (SAI) TIME 2:03.311 DELETED - TRACK LIMITS AT TURN 6 LAP 5 16:32:41,744000.0
2025-japanese-grand-prix-r,Japanese Grand Prix,fia stewards: turn # incident involving car # (sai) reviewed no further investigation - leaving the track and gaining an advantage,2,2126000.0,2874000.0,investigations_noted,FIA STEWARDS: TURN 17 INCIDENT INVOLVING CAR 55 (SAI) REVIEWED NO FURTHER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE,748000.0
2025-united-states-grand-prix-r,United States Grand Prix,drs enabled,2,336000.0,1089000.0,drs,DRS ENABLED,753000.0
2025-monaco-grand-prix-r,Monaco Grand Prix,car # (ant) time #:#.# deleted - track limits at turn # lap # #:#:#,2,3562000.0,4338000.0,other,CAR 12 (ANT) TIME 1:18.060 DELETED - TRACK LIMITS AT TURN 10 LAP 41 15:58:34,776000.0
2025-british-grand-prix-r,British Grand Prix,car # (pia) time #:#.# deleted - track limits at turn # lap # #:#:#,2,5513000.0,6295000.0,other,CAR 81 (PIA) TIME 1:34.870 DELETED - TRACK LIMITS AT TURN 11 LAP 45 16:30:03,782000.0
2025-bahrain-grand-prix-r,Bahrain Grand Prix,fia stewards: turn # incident involving cars # (tsu) and # (sai) reviewed no further investigation - causing a collision,2,3883000.0,4730000.0,investigations_noted,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 22 (TSU) AND 55 (SAI) REVIEWED NO FURTHER INVESTIGATION - CAUSING A COLLISION,847000.0
2025-saudi-arabian-grand-prix-r,Saudi Arabian Grand Prix,car # (had) time #:#.# deleted - track limits at turn # lap # #:#:#,2,2520000.0,3374000.0,other,CAR 6 (HAD) TIME 1:36.137 DELETED - TRACK LIMITS AT TURN 2 LAP 22 20:40:29,854000.0
2025-united-states-grand-prix-r,United States Grand Prix,car # (pia) time #:#.# deleted - track limits at turn # lap # #:#:#,2,647000.0,1535000.0,other,CAR 81 (PIA) TIME 1:40.371 DELETED - TRACK LIMITS AT TURN 9 LAP 3 14:07:39,888000.0
2025-italian-grand-prix-r,Italian Grand Prix,waved blue flag for car # (col) timed at #:#:#,2,3474000.0,4366000.0,flags,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:57:53,892000.0
2025-monaco-grand-prix-r,Monaco Grand Prix,car # (hul) time #:#.# deleted - track limits at turn # lap # #:#:#,2,4480000.0,5375000.0,other,CAR 27 (HUL) TIME 1:20.376 DELETED - TRACK LIMITS AT TURN 10 LAP 52 16:13:08,895000.0
2025-japanese-grand-prix-r,Japanese Grand Prix,car # (sai) time #:#.# deleted - track limits at turn # lap # #:#:#,2,1795000.0,2715000.0,other,CAR 55 (SAI) TIME 1:34.451 DELETED - TRACK LIMITS AT TURN 17 LAP 15 14:27:34,920000.0
2025-saudi-arabian-grand-prix-r,Saudi Arabian Grand Prix,car # (law) time #:#.# deleted - track limits at turn # lap # #:#:#,2,2190000.0,3151000.0,other,CAR 30 (LAW) TIME 1:35.162 DELETED - TRACK LIMITS AT TURN 11 LAP 18 20:34:35,961000.0
2025-bahrain-grand-prix-r,Bahrain Grand Prix,turn # incident involving cars # (tsu) and # (sai) noted - causing a collision,2,3613000.0,4586000.0,investigations_noted,TURN 1 INCIDENT INVOLVING CARS 22 (TSU) AND 55 (SAI) NOTED - CAUSING A COLLISION,973000.0
2025-saudi-arabian-grand-prix-r,Saudi Arabian Grand Prix,car # (bor) time #:#.# deleted - track limits at turn # lap # #:#:#,2,1403000.0,2443000.0,other,CAR 5 (BOR) TIME 1:36.994 DELETED - TRACK LIMITS AT TURN 17 LAP 8 20:19:07,1040000.0
2025-qatar-grand-prix-r,Qatar Grand Prix,drs enabled,2,321000.0,1370000.0,drs,DRS ENABLED,1049000.0
2025-belgian-grand-prix-r,Belgian Grand Prix,car # (col) time #:#.# deleted - track limits at turn # lap # #:#:#,2,6019000.0,7093000.0,other,CAR 43 (COL) TIME 2:04.446 DELETED - TRACK LIMITS AT TURN 4 LAP 8 16:38:33,1074000.0
2025-azerbaijan-grand-prix-r,Azerbaijan Grand Prix,track surface slippery in track sector #,2,2259000.0,3357000.0,other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 7,1098000.0
2025-bahrain-grand-prix-r,Bahrain Grand Prix,fia stewards: # second time penalty for car # (law) - causing a collision,2,4385000.0,5635000.0,penalties,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 30 (LAW) - CAUSING A COLLISION,1250000.0
2025-las-vegas-grand-prix-r,Las Vegas Grand Prix,track clear,2,606000.0,1856000.0,flags,TRACK CLEAR,1250000.0
2025-las-vegas-grand-prix-r,Las Vegas Grand Prix,virtual safety car ending,2,593000.0,1843000.0,safety_car,VIRTUAL SAFETY CAR ENDING,1250000.0
2025-las-vegas-grand-prix-r,Las Vegas Grand Prix,virtual safety car deployed,2,428000.0,1780000.0,safety_car,VIRTUAL SAFETY CAR DEPLOYED,1352000.0
2025-abu-dhabi-grand-prix-r,Abu Dhabi Grand Prix,car # (had) time #:#.# deleted - track limits at turn # lap # #:#:#,2,2528000.0,3941000.0,other,CAR 6 (HAD) TIME 1:30.078 DELETED - TRACK LIMITS AT TURN 6 LAP 23 17:37:47,1413000.0
2025-qatar-grand-prix-r,Qatar Grand Prix,car # (tsu) time #:#.# deleted - track limits at turn # lap # #:#:#,2,412000.0,1892000.0,other,CAR 22 (TSU) TIME 1:29.251 DELETED - TRACK LIMITS AT TURN 10 LAP 2 19:05:58,1480000.0
2025-austrian-grand-prix-r,Austrian Grand Prix,car # (pia) time #:#.# deleted - track limits at turn # lap # #:#:#,2,4575000.0,6117000.0,other,CAR 81 (PIA) TIME 1:10.621 DELETED - TRACK LIMITS AT TURN 1 LAP 48 16:15:08,1542000.0
