session_id,year,event_name,driver_code,aligned_rows,non_ok_rows,car_gap_rows,car_sample_old_rows,location_gap_rows,location_sample_old_rows,other_unknown_rows,car_related_rows,location_related_rows,non_ok_pct,longest_segment_ms,segments_over_2s,degraded_windows,severe_windows,windows_with_incident_context,max_window_non_ok_pct,desktop_replay_risk_score,desktop_guidance
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,NOR,50277,1360,643,114,515,88,0,757,610,2.705014221214472,1500,0,109,0,46,9.0,18.020056884857887,diagnostics_only
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,ALO,50290,1360,643,114,515,88,0,757,610,2.704314973155697,1500,0,109,0,46,9.0,18.01725989262279,diagnostics_only
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,BOR,50296,1360,643,114,515,88,0,757,610,2.7039923651980278,1500,0,109,0,46,9.0,18.01596946079211,diagnostics_only
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,PIA,50302,1360,643,114,515,88,0,757,610,2.7036698342014236,1500,0,109,0,46,9.0,18.014679336805695,diagnostics_only
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,TSU,50304,1360,643,114,515,88,0,757,610,2.703562340966921,1500,0,109,0,46,9.0,18.014249363867684,diagnostics_only
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,HUL,50352,1360,643,114,515,88,0,757,610,2.7009850651414045,1500,0,109,0,46,9.0,18.003940260565617,diagnostics_only
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,OCO,50375,1360,643,114,515,88,0,757,610,2.699751861042184,1500,0,109,0,46,9.0,17.999007444168736,diagnostics_only
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,RUS,50898,1373,643,115,526,89,0,758,622,2.6975519666784553,1500,0,110,0,46,9.0,17.99020786671382,diagnostics_only
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,OCO,52086,1229,480,124,511,114,0,604,639,2.359559190569443,1700,0,97,1,26,10.047846889952153,17.97651427423949,diagnostics_only
2025-miami-grand-prix-r,2025,Miami Grand Prix,PIA,53317,987,593,115,240,39,0,708,672,1.8511919275278055,2300,1,80,1,29,10.0,17.904767710111223,diagnostics_only
2025-miami-grand-prix-r,2025,Miami Grand Prix,HUL,53327,987,593,115,240,39,0,708,672,1.8508447878185534,2300,1,80,1,29,10.0,17.903379151274216,diagnostics_only
2025-miami-grand-prix-r,2025,Miami Grand Prix,NOR,53363,987,593,115,240,39,0,708,672,1.8495961621348125,2300,1,80,1,29,10.0,17.89838464853925,diagnostics_only
2025-miami-grand-prix-r,2025,Miami Grand Prix,ALO,53526,987,593,115,240,39,0,708,672,1.843963681201659,2300,1,80,1,29,10.0,17.875854724806636,diagnostics_only
2025-miami-grand-prix-r,2025,Miami Grand Prix,STR,53568,987,593,115,240,39,0,708,672,1.8425179211469533,2300,1,80,1,29,10.0,17.870071684587813,diagnostics_only
2025-miami-grand-prix-r,2025,Miami Grand Prix,RUS,53691,989,593,116,240,40,0,709,673,1.8420219403624445,2300,1,81,1,29,10.0,17.86808776144978,diagnostics_only
2025-miami-grand-prix-r,2025,Miami Grand Prix,VER,53714,989,593,116,240,40,0,709,673,1.8412331980489256,2300,1,81,1,29,10.0,17.864932792195702,diagnostics_only
2025-miami-grand-prix-r,2025,Miami Grand Prix,ALB,53797,989,593,116,240,40,0,709,673,1.838392475416845,2300,1,80,1,29,10.0,17.85356990166738,diagnostics_only
2025-miami-grand-prix-r,2025,Miami Grand Prix,ANT,53870,989,593,116,240,40,0,709,673,1.8359012437349176,2300,1,80,1,29,10.0,17.84360497493967,diagnostics_only
2025-miami-grand-prix-r,2025,Miami Grand Prix,LEC,53885,989,593,116,240,40,0,709,673,1.8353901827966967,2300,1,80,1,29,10.0,17.84156073118679,diagnostics_only
2025-miami-grand-prix-r,2025,Miami Grand Prix,HAM,53916,989,593,116,240,40,0,709,673,1.834334891312412,2300,1,80,1,29,10.0,17.83733956524965,diagnostics_only
2025-miami-grand-prix-r,2025,Miami Grand Prix,SAI,53920,989,593,116,240,40,0,709,673,1.83419881305638,2300,1,80,1,29,10.0,17.83679525222552,diagnostics_only
2025-miami-grand-prix-r,2025,Miami Grand Prix,TSU,54011,989,593,116,240,40,0,709,673,1.8311084779026494,2300,1,80,1,29,10.0,17.824433911610598,diagnostics_only
2025-miami-grand-prix-r,2025,Miami Grand Prix,HAD,54060,989,593,116,240,40,0,709,673,1.82944876063633,2300,1,80,1,29,10.0,17.81779504254532,diagnostics_only
2025-miami-grand-prix-r,2025,Miami Grand Prix,OCO,54134,989,593,116,240,40,0,709,673,1.8269479439908376,2300,1,80,1,29,10.0,17.807791775963352,diagnostics_only
2025-miami-grand-prix-r,2025,Miami Grand Prix,GAS,54220,990,593,117,240,40,0,710,673,1.8258945038731096,2300,1,81,1,29,10.0,17.803578015492437,diagnostics_only
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,NOR,60339,1227,755,171,256,45,0,926,805,2.0335106647441954,2300,1,94,0,54,9.375,17.63404265897678,diagnostics_only
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,RUS,60677,1239,767,171,256,45,0,938,807,2.0419598859534918,2300,1,95,0,54,9.0,17.367839543813968,diagnostics_only
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,HAM,60852,1239,767,171,256,45,0,938,807,2.036087556694932,2300,1,95,0,54,9.0,17.344350226779728,diagnostics_only
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,BEA,60886,1239,767,171,256,45,0,938,807,2.034950563347896,2300,1,95,0,54,9.0,17.339802253391586,diagnostics_only
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,COL,60909,1239,767,171,256,45,0,938,807,2.0341821405703593,2300,1,95,0,54,9.0,17.336728562281436,diagnostics_only
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,HAD,60989,1240,767,172,256,45,0,939,807,2.033153519487121,2300,1,95,0,54,9.0,17.332614077948485,diagnostics_only
