session_id,year,event_name,driver_code,driver_number,stream_name,sample_count,min_delta_ms,median_delta_ms,p90_delta_ms,p99_delta_ms,max_delta_ms,estimated_frequency_hz,duplicate_count,out_of_order_count,warning_flags
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,DOO,7,raw_location_telemetry,21015,20.0,240.0,380.0,501.0,1439.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,GAS,10,raw_car_telemetry,20661,159.0,240.0,400.0,480.40999999999985,1400.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,GAS,10,raw_location_telemetry,20977,20.0,240.0,380.0,501.0,1439.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,HAD,6,raw_car_telemetry,20700,159.0,240.0,400.0,481.0,1400.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,HAD,6,raw_location_telemetry,21017,20.0,240.0,380.0,501.0,1439.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,HAM,44,raw_car_telemetry,20504,159.0,240.0,400.0,481.0,1400.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,HAM,44,raw_location_telemetry,20814,20.0,240.0,380.0,501.0,1439.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,HUL,27,raw_car_telemetry,20483,159.0,240.0,400.0,481.0,1400.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,HUL,27,raw_location_telemetry,20793,20.0,240.0,380.0,501.0,1439.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,LAW,30,raw_car_telemetry,20708,159.0,240.0,400.0,480.9399999999987,1400.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,LAW,30,raw_location_telemetry,21026,20.0,240.0,380.0,501.0,1439.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,LEC,16,raw_car_telemetry,20495,159.0,240.0,400.0,481.0,1400.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,LEC,16,raw_location_telemetry,20805,20.0,240.0,380.0,501.0,1439.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
