session_id,year,event_name,rotation_degrees,circuit_marker_id,marker_type,marker_number,marker_letter,x,y,angle_degrees,distance_m,position_xy_samples,position_driver_count,x_min,x_max,y_min,y_max,x_p01,x_p99,y_p01,y_p99,has_marker,minmax_pad_x,minmax_pad_y,core_pad_x,core_pad_y,outside_minmax_bounds,outside_core_bounds,marker_coordinate_issue
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2097,marshal_sector,17,,7169.92822265625,-3368.44970703125,18.113525306458506,3941.8525782448237,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2098,marshal_sector,18,,5941.14453125,-5404.3623046875,-75.4346269198602,4258.499149373286,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2099,marshal_sector,19,,3919.87841796875,-3964.5810546875,29.374457223156586,4556.375845136175,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2100,marshal_sector,20,,2894.992919921875,-4280.79541015625,-50.09435957210128,4706.20610513907,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,237.0,2101,corner,1,,-5247.443359375,-2414.479736328125,-122.95430080435021,577.2594444444444,398411,20,-6749.0,5403.0,-3627.0,7192.0,-6725.0,5386.0,-3612.0,7137.0,True,972.16,865.52,605.5500000000001,537.45,False,False,none
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,237.0,2102,corner,2,,-5133.3388671875,-986.1815795898438,-83.20236298780449,741.6467525128761,398411,20,-6749.0,5403.0,-3627.0,7192.0,-6725.0,5386.0,-3612.0,7137.0,True,972.16,865.52,605.5500000000001,537.45,False,False,none
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,237.0,2103,corner,3,,-4563.62158203125,-2055.360595703125,73.79008590491989,879.2595755080923,398411,20,-6749.0,5403.0,-3627.0,7192.0,-6725.0,5386.0,-3612.0,7137.0,True,972.16,865.52,605.5500000000001,537.45,False,False,none
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,237.0,2104,corner,4,,-4096.869140625,-1006.836669921875,21.782231789704493,1020.5860276050806,398411,20,-6749.0,5403.0,-3627.0,7192.0,-6725.0,5386.0,-3612.0,7137.0,True,972.16,865.52,605.5500000000001,537.45,False,False,none
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,237.0,2105,corner,5,,-6014.22705078125,1311.9625244140625,-150.57583559261988,1335.461886759936,398411,20,-6749.0,5403.0,-3627.0,7192.0,-6725.0,5386.0,-3612.0,7137.0,True,972.16,865.52,605.5500000000001,537.45,False,False,none
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,237.0,2106,corner,6,,-6594.7578125,3667.179443359375,103.61731226810306,1571.2447174510376,398411,20,-6749.0,5403.0,-3627.0,7192.0,-6725.0,5386.0,-3612.0,7137.0,True,972.16,865.52,605.5500000000001,537.45,False,False,none
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,237.0,2107,corner,7,,-3495.4052734375,611.8964233398438,94.16150313928429,2046.399166666666,398411,20,-6749.0,5403.0,-3627.0,7192.0,-6725.0,5386.0,-3612.0,7137.0,True,972.16,865.52,605.5500000000001,537.45,False,False,none
