session_id,year,event_name,driver_code,aligned_rows,non_ok_rows,car_gap_rows,car_sample_old_rows,location_gap_rows,location_sample_old_rows,other_unknown_rows,car_related_rows,location_related_rows,non_ok_pct
2025-miami-grand-prix-r,2025,Miami Grand Prix,ANT,53870,989,593,116,240,40,0,709,673,1.8359012437349176
2025-miami-grand-prix-r,2025,Miami Grand Prix,HAD,54060,989,593,116,240,40,0,709,673,1.82944876063633
2025-miami-grand-prix-r,2025,Miami Grand Prix,HAM,53916,989,593,116,240,40,0,709,673,1.834334891312412
2025-miami-grand-prix-r,2025,Miami Grand Prix,LEC,53885,989,593,116,240,40,0,709,673,1.8353901827966967
2025-miami-grand-prix-r,2025,Miami Grand Prix,OCO,54134,989,593,116,240,40,0,709,673,1.8269479439908376
2025-miami-grand-prix-r,2025,Miami Grand Prix,RUS,53691,989,593,116,240,40,0,709,673,1.8420219403624445
2025-miami-grand-prix-r,2025,Miami Grand Prix,SAI,53920,989,593,116,240,40,0,709,673,1.83419881305638
2025-miami-grand-prix-r,2025,Miami Grand Prix,TSU,54011,989,593,116,240,40,0,709,673,1.8311084779026494
2025-miami-grand-prix-r,2025,Miami Grand Prix,VER,53714,989,593,116,240,40,0,709,673,1.8412331980489256
2025-miami-grand-prix-r,2025,Miami Grand Prix,ALO,53526,987,593,115,240,39,0,708,672,1.843963681201659
2025-miami-grand-prix-r,2025,Miami Grand Prix,HUL,53327,987,593,115,240,39,0,708,672,1.8508447878185534
2025-miami-grand-prix-r,2025,Miami Grand Prix,NOR,53363,987,593,115,240,39,0,708,672,1.8495961621348125
2025-miami-grand-prix-r,2025,Miami Grand Prix,PIA,53317,987,593,115,240,39,0,708,672,1.8511919275278055
2025-miami-grand-prix-r,2025,Miami Grand Prix,STR,53568,987,593,115,240,39,0,708,672,1.8425179211469533
2025-united-states-grand-prix-r,2025,United States Grand Prix,ALB,57198,982,644,113,152,73,0,757,547,1.7168432462673517
2025-united-states-grand-prix-r,2025,United States Grand Prix,ALO,57100,982,644,113,152,73,0,757,547,1.7197898423817863
2025-united-states-grand-prix-r,2025,United States Grand Prix,ANT,57156,982,644,113,152,73,0,757,547,1.718104835887746
2025-united-states-grand-prix-r,2025,United States Grand Prix,BEA,57047,982,644,113,152,73,0,757,547,1.7213876277455433
2025-united-states-grand-prix-r,2025,United States Grand Prix,HAD,57326,982,644,113,152,73,0,757,547,1.7130098035795276
2025-united-states-grand-prix-r,2025,United States Grand Prix,LAW,57131,982,644,113,152,73,0,757,547,1.7188566627575224
2025-united-states-grand-prix-r,2025,United States Grand Prix,OCO,57228,982,644,113,152,73,0,757,547,1.7159432445655973
2025-united-states-grand-prix-r,2025,United States Grand Prix,STR,57146,982,644,113,152,73,0,757,547,1.7184054876981765
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,ALB,52522,972,540,118,274,40,0,658,711,1.8506530596702333
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,ANT,52515,972,540,118,274,40,0,658,711,1.8508997429305913
2025-united-states-grand-prix-r,2025,United States Grand Prix,HUL,56970,972,634,113,152,73,0,747,546,1.7061611374407581
2025-united-states-grand-prix-r,2025,United States Grand Prix,TSU,56926,972,634,113,152,73,0,747,546,1.7074798861680076
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,BOR,52481,970,540,118,274,38,0,658,709,1.848287951830186
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,HUL,52461,970,540,118,274,38,0,658,709,1.848992584967881
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,SAI,52493,970,540,118,274,38,0,658,709,1.847865429676338
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,TSU,52503,970,540,118,274,38,0,658,709,1.8475134754204523
2025-united-states-grand-prix-r,2025,United States Grand Prix,BOR,56435,970,634,111,152,73,0,745,546,1.7187915300788517
2025-united-states-grand-prix-r,2025,United States Grand Prix,COL,56419,970,634,111,152,73,0,745,546,1.7192789663056773
2025-united-states-grand-prix-r,2025,United States Grand Prix,GAS,56461,970,634,111,152,73,0,745,546,1.7180000354226812
2025-united-states-grand-prix-r,2025,United States Grand Prix,HAM,56682,970,634,111,152,73,0,745,546,1.7113016477894216
2025-united-states-grand-prix-r,2025,United States Grand Prix,LEC,56552,970,634,111,152,73,0,745,546,1.7152355354364126
2025-united-states-grand-prix-r,2025,United States Grand Prix,NOR,56479,970,634,111,152,73,0,745,546,1.7174525044706883
2025-united-states-grand-prix-r,2025,United States Grand Prix,PIA,56697,970,634,111,152,73,0,745,546,1.7108488985307864
2025-united-states-grand-prix-r,2025,United States Grand Prix,RUS,56734,970,634,111,152,73,0,745,546,1.7097331406211442
2025-united-states-grand-prix-r,2025,United States Grand Prix,VER,56399,970,634,111,152,73,0,745,546,1.7198886505079878
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,BEA,52431,967,540,118,274,35,0,658,706,1.8443287368160057
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,HAM,52396,967,540,118,274,35,0,658,706,1.8455607298267043
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,OCO,52369,967,540,118,274,35,0,658,706,1.8465122496133208
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,STR,52415,967,540,118,274,35,0,658,706,1.8448917294667557
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,ALO,52338,956,540,116,265,35,0,656,695,1.8265887118346136
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,RUS,52156,956,540,116,265,35,0,656,695,1.8329626505100085
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,NOR,51873,953,564,131,201,57,0,695,682,1.837179264742737
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,COL,51810,945,529,116,265,35,0,645,693,1.8239722061378112
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,GAS,51736,945,529,116,265,35,0,645,693,1.8265811040668007
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,HAD,51683,945,529,116,265,35,0,645,693,1.8284542305980689
