session_id,year,event_name,surface,surface_key,start_ms,end_ms,span_ms,derived_session_duration_ms,active_replay_start_ms,active_replay_end_ms,active_replay_duration_ms,coverage_ratio,active_coverage_ratio,starts_after_active_ms,ends_before_active_end_ms
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,race control,race_control,185000,7099000,6914000,10394423,3479645,9007545,5527900,0.6651643867100656,0.6547432117078819,-3294645,1908545
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,raw telemetry,telemetry,4268568,9363909,5095341,9680006,4268607,9363807,5095200,0.5263778762120602,1.0,-39,-102
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,raw position,position,1081155,6176645,5095490,9680006,4268607,9363807,5095200,0.5263932687645029,0.3744775474956822,-3187452,3187162
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,aligned replay,aligned,4268607,9363807,5095200,9680006,4268607,9363807,5095200,0.5263633101053863,1.0,0,0
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,weather,weather,28548,9629045,9600497,9680006,4268607,9363807,5095200,0.9917862654217363,1.0,-4240059,-265238
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,track status,track_status,0,9679506,9679506,9680006,4268607,9363807,5095200,0.9999483471394542,1.0,-4268607,-315699
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,session status,session_status,4376,9680006,9675630,9680006,4268607,9363807,5095200,0.9995479341645036,1.0,-4264231,-316199
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,race control,race_control,91000,6492000,6401000,9680006,4268607,9363807,5095200,0.6612599207066607,0.43637011304757417,-4177607,2871807
2025-british-grand-prix-r,2025,British Grand Prix,raw telemetry,telemetry,3369200,9289341,5920141,9434243,3369287,9289287,5920000,0.6275162723707668,1.0,-87,-54
2025-british-grand-prix-r,2025,British Grand Prix,raw position,position,229726,6149968,5920242,9434243,3369287,9289287,5920000,0.6275269780521872,0.4697096283783784,-3139561,3139319
2025-british-grand-prix-r,2025,British Grand Prix,aligned replay,aligned,3369287,9289287,5920000,9434243,3369287,9289287,5920000,0.6275013268155166,1.0,0,0
2025-british-grand-prix-r,2025,British Grand Prix,weather,weather,19723,9260295,9240572,9434243,3369287,9289287,5920000,0.9794714848875528,0.9951027027027027,-3349564,28992
2025-british-grand-prix-r,2025,British Grand Prix,track status,track_status,0,8441958,8441958,9434243,3369287,9289287,5920000,0.8948209199190651,0.8568701013513513,-3369287,847329
2025-british-grand-prix-r,2025,British Grand Prix,session status,session_status,8247,9434243,9425996,9434243,3369287,9289287,5920000,0.9991258440131339,1.0,-3361040,-144956
2025-british-grand-prix-r,2025,British Grand Prix,race control,race_control,55000,6295000,6240000,9434243,3369287,9289287,5920000,0.6614203174541932,0.494208277027027,-3314287,2994287
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,raw telemetry,telemetry,8072293,13290070,5217777,13458265,8072330,13289930,5217600,0.3877005691298247,1.0,-37,-140
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,raw position,position,4800264,10017963,5217699,13458265,8072330,13289930,5217600,0.38769477343476294,0.3728980757436369,-3272066,3271967
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,aligned replay,aligned,8072330,13289930,5217600,13458265,8072330,13289930,5217600,0.3876874173602615,1.0,0,0
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,weather,weather,36172,13357618,13321446,13458265,8072330,13289930,5217600,0.9898338307352397,1.0,-8036158,-67688
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,track status,track_status,0,8765268,8765268,13458265,8072330,13289930,5217600,0.6512925700303865,0.1328078043544925,-8072330,4524662
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,session status,session_status,2547,13458265,13455718,13458265,8072330,13289930,5217600,0.9998107482650995,1.0,-8069783,-168335
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,race control,race_control,104000,10186000,10082000,13458265,8072330,13289930,5217600,0.7491307386204685,0.4051038791781662,-7968330,3103930
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,raw telemetry,telemetry,3468096,9261436,5793340,9412940,3468106,9261406,5793300,0.6154655187433469,1.0,-10,-30
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,raw position,position,186169,5980150,5793981,9412940,3468106,9261406,5793300,0.6155336164896409,0.4336119310237688,-3281937,3281256
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,aligned replay,aligned,3468106,9261406,5793300,9412940,3468106,9261406,5793300,0.6154612692739994,1.0,0,0
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,weather,weather,15360,9375778,9360418,9412940,3468106,9261406,5793300,0.9944202342732451,1.0,-3452746,-114372
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,track status,track_status,0,2547920,2547920,9412940,3468106,9261406,5793300,0.27068269849802506,0.0,-3468106,6713486
